"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2024-04-12 10:02:16,681228","fe80::212:4b00:173d:8a03","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"2","2024-04-12 10:02:21,389490","fe80::212:4b00:1204:d199","ff02::1a","ICMPv6","27","RPL Control (DODAG Information Solicitation)"
"3","2024-04-12 10:02:23,937772","fe80::212:4b00:c46:c300","ff02::1a","ICMPv6","27","RPL Control (DODAG Information Solicitation)"
"4","2024-04-12 10:02:25,107247","fe80::212:4b00:173d:8a03","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"5","2024-04-12 10:02:28,120752","fe80::212:4b00:1204:d199","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"6","2024-04-12 10:02:29,935381","fe80::212:4b00:173d:8a03","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"7","2024-04-12 10:02:30,669672","fe80::212:4b00:1204:d199","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"8","2024-04-12 10:02:30,670239","","","IEEE 802.15.4","5","Ack"
"9","2024-04-12 10:02:30,701515","fe80::212:4b00:c46:c300","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"10","2024-04-12 10:02:33,353422","fe80::212:4b00:c46:c300","fe80::212:4b00:1204:d199","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"11","2024-04-12 10:02:33,353905","","","IEEE 802.15.4","5","Ack"
"12","2024-04-12 10:02:33,357186","fe80::212:4b00:1204:d199","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"13","2024-04-12 10:02:33,357681","","","IEEE 802.15.4","5","Ack"
"14","2024-04-12 10:02:35,002677","fe80::212:4b00:1204:d199","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"15","2024-04-12 10:02:35,542041","fe80::212:4b00:1204:d199","fe80::212:4b00:173d:8a03","ICMPv6","102","RPL Control (DODAG Information Object)"
"16","2024-04-12 10:02:35,542466","","","IEEE 802.15.4","5","Ack"
"17","2024-04-12 10:02:39,185740","fe80::212:4b00:c46:c300","fe80::212:4b00:1204:d199","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"18","2024-04-12 10:02:39,186319","","","IEEE 802.15.4","5","Ack"
"19","2024-04-12 10:02:39,218622","fe80::212:4b00:1204:d199","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"20","2024-04-12 10:02:39,219077","","","IEEE 802.15.4","5","Ack"
"21","2024-04-12 10:02:39,291250","fe80::212:4b00:c46:c300","fe80::212:4b00:1204:d199","ICMPv6","102","RPL Control (DODAG Information Object)"
"22","2024-04-12 10:02:39,291754","","","IEEE 802.15.4","5","Ack"
"23","2024-04-12 10:02:39,740658","fe80::212:4b00:c46:c300","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"24","2024-04-12 10:02:41,959823","fe80::212:4b00:173d:8a03","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"25","2024-04-12 10:02:43,294319","fe80::212:4b00:c46:c300","fe80::212:4b00:1204:d199","ICMPv6","102","RPL Control (DODAG Information Object)"
"26","2024-04-12 10:02:43,294917","","","IEEE 802.15.4","5","Ack"
"27","2024-04-12 10:02:45,468374","fe80::212:4b00:1204:d199","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"28","2024-04-12 10:02:45,469143","","","IEEE 802.15.4","5","Ack"
"29","2024-04-12 10:02:49,830943","fe80::212:4b00:c46:c300","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"30","2024-04-12 10:02:50,954909","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","27","RPL Control (DODAG Information Solicitation)"
"31","2024-04-12 10:02:53,444294","fe80::212:4b00:1204:d199","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"32","2024-04-12 10:02:53,713371","fe80::212:4b00:c46:c300","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"33","2024-04-12 10:02:54,598761","fe80::212:4b00:173d:8a03","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"34","2024-04-12 10:02:54,778814","fe80::212:4b00:1665:2a04","fe80::212:4b00:1204:d199","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"35","2024-04-12 10:02:54,779378","","","IEEE 802.15.4","5","Ack"
"36","2024-04-12 10:02:56,415508","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"37","2024-04-12 10:02:56,425294","fe80::212:4b00:1665:2a04","fe80::212:4b00:173d:8a03","ICMPv6","102","RPL Control (DODAG Information Object)"
"38","2024-04-12 10:02:56,445113","","","IEEE 802.15.4","5","Ack"
"39","2024-04-12 10:02:56,445662","fe80::212:4b00:1665:2a04","fe80::212:4b00:173d:8a03","ICMPv6","102","RPL Control (DODAG Information Object)"
"40","2024-04-12 10:02:56,446054","","","IEEE 802.15.4","5","Ack"
"41","2024-04-12 10:02:56,471032","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"42","2024-04-12 10:02:56,471537","fe80::212:4b00:1665:2a04","fe80::212:4b00:173d:8a03","ICMPv6","102","RPL Control (DODAG Information Object)"
"43","2024-04-12 10:02:56,499215","","","IEEE 802.15.4","5","Ack"
"44","2024-04-12 10:02:56,499667","fe80::212:4b00:1665:2a04","fe80::212:4b00:173d:8a03","ICMPv6","102","RPL Control (DODAG Information Object)"
"45","2024-04-12 10:02:56,500165","","","IEEE 802.15.4","5","Ack"
"46","2024-04-12 10:02:57,157024","fe80::212:4b00:1204:d199","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"47","2024-04-12 10:02:57,157213","","","IEEE 802.15.4","5","Ack"
"48","2024-04-12 10:02:57,367073","fe80::212:4b00:c46:c300","fe80::212:4b00:1204:d199","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"49","2024-04-12 10:02:57,367261","","","IEEE 802.15.4","5","Ack"
"50","2024-04-12 10:02:57,421158","fe80::212:4b00:1204:d199","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"51","2024-04-12 10:02:57,421665","","","IEEE 802.15.4","5","Ack"
"52","2024-04-12 10:02:59,196153","fe80::212:4b00:1665:2a04","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"53","2024-04-12 10:02:59,196564","","","IEEE 802.15.4","5","Ack"
"54","2024-04-12 10:02:59,361143","fe80::212:4b00:173d:8a03","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"55","2024-04-12 10:03:00,665758","fe80::212:4b00:1204:d199","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
